s[R,A,AB->AA,0(9),194,0,0,0,49585]
s[T,D,AA->AB,1(10),195,0,16,49600,49713]
s[R,A,AB->AA,0(9),195,0,0,0,49794]
s[T,D,AA->AB,1(10),196,3,16,49807,49924]
s[R,A,AB->AA,0(9),196,0,0,0,50005]
s[T,D,AA->AB,1(10),197,8,16,50019,50140]
s[R,A,AB->AA,0(9),197,0,0,0,50221]
s[T,D,AA->AB,1(10),198,5,16,50235,50353]
s[R,A,AB->AA,0(9),198,0,0,0,50434]
s[T,D,AA->AB,1(10),199,13,16,50450,50576]
s[R,A,AB->AA,0(9),199,0,0,0,50657]
s[T,D,AA->AB,1(10),200,10,16,50670,50793]
s[R,A,AB->AA,0(9),200,0,0,0,50874]
s[T,D,AA->AB,1(10),201,11,16,50890,51014]
s[R,A,AB->AA,0(9),201,0,0,0,51095]
s[T,D,AA->AB,1(10),202,0,16,51110,51223]
s[R,A,AB->AA,0(9),202,0,0,0,51304]
s[T,D,AA->AB,1(10),203,11,16,51317,51441]
s[R,A,AB->AA,0(9),203,0,0,0,51522]
s[T,D,AA->AB,1(10),204,14,16,51536,51663]
s[R,A,AB->AA,0(9),204,0,0,0,51744]
s[T,D,AA->AB,1(10),205,0,16,51756,51869]
s[R,A,AB->AA,0(9),205,0,0,0,51950]
s[T,D,AA->AB,1(10),206,2,16,51964,52079]
s[R,A,AB->AA,0(9),206,0,0,0,52160]
s[T,D,AA->AB,1(10),207,0,16,52176,52289]
s[R,A,AB->AA,0(9),207,0,0,0,52370]
s[T,D,AA->AB,1(10),208,10,16,52384,52507]
s[R,A,AB->AA,0(9),208,0,0,0,52588]
s[T,D,AA->AB,1(10),209,14,16,52604,52731]
s[R,A,AB->AA,0(9),209,0,0,0,52812]
s[T,D,AA->AB,1(10),210,5,16,52827,52946]
s[R,A,AB->AA,0(9),210,0,0,0,53027]
s[T,D,AA->AB,1(10),211,7,16,53043,53163]
s[R,A,AB->AA,0(9),211,0,0,0,53244]
s[T,D,AA->AB,1(10),212,0,16,53259,53372]
s[R,A,AB->AA,0(9),212,0,0,0,53453]
s[T,D,AA->AB,1(10),213,3,16,53467,53583]
s[R,A,AB->AA,0(9),213,0,0,0,53664]
s[T,D,AA->AB,1(10),214,12,16,53679,53804]
s[R,A,AB->AA,0(9),214,0,0,0,53885]
s[T,D,AA->AB,1(10),215,4,16,53898,54015]
s[R,A,AB->AA,0(9),215,0,0,0,54096]
s[T,D,AA->AB,1(10),216,5,16,54110,54228]
s[R,A,AB->AA,0(9),216,0,0,0,54309]
s[T,D,AA->AB,1(10),217,1,16,54326,54440]
s[R,A,AB->AA,0(9),217,0,0,0,54521]
s[T,D,AA->AB,1(10),218,9,16,54538,54660]
s[R,A,AB->AA,0(9),218,0,0,0,54741]
s[T,D,AA->AB,1(10),219,15,16,54757,54886]
s[R,A,AB->AA,0(9),219,0,0,0,54967]
s[T,D,AA->AB,1(10),220,2,16,54980,55095]
s[R,A,AB->AA,0(9),220,0,0,0,55176]
s[T,D,AA->AB,1(10),221,3,16,55189,55305]
s[R,A,AB->AA,0(9),221,0,0,0,55386]
s[T,D,AA->AB,1(10),222,6,16,55400,55519]
s[R,A,AB->AA,0(9),222,0,0,0,55600]
s[T,D,AA->AB,1(10),223,2,16,55616,55731]
s[R,A,AB->AA,0(9),223,0,0,0,55812]
s[T,D,AA->AB,1(10),224,6,16,55829,55948]
s[R,A,AB->AA,0(9),224,0,0,0,56029]
s[T,D,AA->AB,1(10),225,3,16,56043,56159]
s[R,A,AB->AA,0(9),225,0,0,0,56240]
s[T,D,AA->AB,1(10),226,2,16,56257,56372]
s[R,A,AB->AA,0(9),226,0,0,0,56453]
s[T,D,AA->AB,1(10),227,7,16,56466,56586]
s[R,A,AB->AA,0(9),227,0,0,0,56667]
s[T,D,AA->AB,1(10),228,11,16,56683,56807]
s[R,A,AB->AA,0(9),228,0,0,0,56888]
s[T,D,AA->AB,1(10),229,9,16,56903,57025]
s[R,A,AB->AA,0(9),229,0,0,0,57106]
s[T,D,AA->AB,1(10),230,5,16,57123,57241]
s[R,A,AB->AA,0(9),230,0,0,0,57322]
s[T,D,AA->AB,1(10),231,0,16,57338,57451]
s[R,A,AB->AA,0(9),231,0,0,0,57532]
s[T,D,AA->AB,1(10),232,5,16,57546,57664]
s[R,A,AB->AA,0(9),232,0,0,0,57745]
s[T,D,AA->AB,1(10),233,13,16,57762,57888]
s[R,A,AB->AA,0(9),233,0,0,0,57969]
s[T,D,AA->AB,1(10),234,2,16,57986,58101]
s[R,A,AB->AA,0(9),234,0,0,0,58182]
s[T,D,AA->AB,1(10),235,13,16,58198,58324]
s[R,A,AB->AA,0(9),235,0,0,0,58405]
s[T,D,AA->AB,1(10),236,9,16,58421,58543]
s[R,A,AB->AA,0(9),236,0,0,0,58624]
s[T,D,AA->AB,1(10),237,11,16,58636,58760]
s[R,A,AB->AA,0(9),237,0,0,0,58841]
s[T,D,AA->AB,1(10),238,11,16,58857,58981]
s[R,A,AB->AA,0(9),238,0,0,0,59062]
s[T,D,AA->AB,1(10),239,5,16,59077,59195]
s[R,A,AB->AA,0(9),239,0,0,0,59276]
s[T,D,AA->AB,1(10),240,14,16,59292,59419]
s[R,A,AB->AA,0(9),240,0,0,0,59500]
s[T,D,AA->AB,1(10),241,10,16,59516,59639]
s[R,A,AB->AA,0(9),241,0,0,0,59720]
s[T,D,AA->AB,1(10),242,8,16,59736,59857]
s[R,A,AB->AA,0(9),242,0,0,0,59938]
s[T,D,AA->AB,1(10),243,0,16,59951,60064]
s[R,A,AB->AA,0(9),243,0,0,0,60145]
s[T,D,AA->AB,1(10),244,4,16,60160,60277]
s[R,A,AB->AA,0(9),244,0,0,0,60358]
